Naam,ID,Clustering,Rank (Betweenness centr.),Rank (Eigenvector centr.),Fonds en functies
"Linger, Julien Milton",P130017,1.0,206,1035,SNS Reaal  (60701) - Bestuurder
"Beuken, Nicolette Josephine Marie (Nicole)",P130931,1.0,206,623,Beroepsvervoer (33519) - Lid Raad van Toezicht
"Eikenboom, Antoinetta Elisabeth",P131079,0.595,192,105,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT) (10541) - Lid Raad van Toezicht<br />Levensmiddelen Groothandel (34561) - Lid Raad van Toezicht"
"Vellenga, Harry Jacob",P123008,0.557,106,26,Campina (60564) - Bestuurder<br />Agrarische (36722) - Bestuurder
"Neele, Chantal Cathalina Elizabeth",P109565,1.0,NA,NA,B&S (60924) - Bestuurder
"Elsen, Stefan Adriaan Nicolaas",P132369,1.0,NA,NA,Douwe Egberts (4071) - Bestuurder
"Buitenhuis, Paul Alexander",P123507,1.0,206,514,ABN AMRO Bank (7113) - Bestuurder
"Hoff, Jurriën van den",P107803,1.0,NA,NA,Telegraaf (11492) - Bestuurder
"Stoffer, Steven",P114923,1.0,NA,NA,Smurfit Kappa Nederland (60806) - Bestuurder
"Faber, Ynze",P117860,1.0,NA,NA,Will Niemeijer (13579) - Bestuurder
"Vervoort, Edwinus Cornelius Petrus",P117940,1.0,NA,NA,Smurfit Kappa Nederland (60806) - Bestuurder
"Hoytema van Konijnenburg, Robin Paul",P120266,1.0,NA,NA,Heineken (1757) - Bestuursvoorzitter
"Blanken, Cornelis Jacobus den",P131161,1.0,206,322,Kappersbedrijf (44380) - Lid Raad van Toezicht
"Zimmerman, Antonius Wilhelmus Paulus Marie",P120538,1.0,206,266,Koopvaardij (11322) - Bestuurder
"Nieboer, Henk Evert",P127203,1.0,206,1059,Witteveen & Bos (60084) - Bestuurder
"Boer, Evert de",P132016,1.0,206,1000,Henkel (342) - Bestuurder
